iter	Passed	Remaining
0	135	135751
1	136	68284
2	137	45627
3	137	34311
4	138	27510
5	138	23008
6	139	19797
7	140	17434
8	142	15638
9	143	14181
10	143	12928
11	145	11962
12	146	11137
13	147	10417
14	149	9792
15	150	9263
16	151	8786
17	153	8361
18	154	7989
19	156	7649
20	157	7332
21	158	7052
22	159	6792
23	161	6553
24	162	6344
25	164	6144
26	165	5957
27	166	5775
28	167	5609
29	168	5449
30	169	5295
31	170	5152
32	171	5020
33	172	4895
34	173	4775
35	174	4660
36	175	4559
37	176	4462
38	177	4370
39	178	4279
40	179	4194
41	180	4106
42	180	4018
43	181	3940
44	182	3868
45	183	3797
46	183	3729
47	184	3665
48	185	3603
49	186	3543
50	187	3486
51	188	3433
52	189	3380
53	190	3330
54	190	3280
55	191	3231
56	192	3184
57	193	3137
58	193	3093
59	194	3050
60	195	3008
61	196	2967
62	196	2928
63	197	2890
64	198	2851
65	198	2814
66	199	2778
67	200	2743
68	200	2710
69	201	2677
70	202	2644
71	202	2612
72	203	2582
73	204	2552
74	204	2523
75	205	2494
76	205	2467
77	206	2439
78	206	2412
79	207	2387
80	208	2361
81	208	2337
82	209	2309
83	209	2287
84	210	2264
85	210	2242
86	211	2220
87	212	2198
88	212	2177
89	213	2157
90	213	2136
91	214	2117
92	215	2098
93	215	2079
94	216	2060
95	216	2042
96	217	2025
97	218	2008
98	218	1991
99	219	1974
100	219	1957
101	220	1941
102	221	1926
103	221	1911
104	222	1895
105	223	1881
106	223	1866
107	224	1852
108	224	1838
109	225	1824
110	226	1810
111	226	1797
112	227	1784
113	227	1771
114	228	1758
115	229	1745
116	229	1732
117	230	1721
118	230	1709
119	231	1697
120	232	1685
121	232	1673
122	233	1662
123	233	1651
124	234	1640
125	234	1629
126	235	1618
127	236	1607
128	236	1597
129	237	1587
130	237	1577
131	238	1567
132	238	1557
133	239	1548
134	240	1538
135	240	1529
136	241	1520
137	242	1511
138	242	1502
139	243	1494
140	243	1485
141	244	1475
142	244	1467
143	245	1458
144	246	1450
145	246	1442
146	247	1434
147	247	1426
148	248	1419
149	249	1411
150	249	1404
151	250	1396
152	250	1388
153	251	1381
154	252	1374
155	252	1367
156	253	1359
157	253	1352
158	254	1345
159	254	1338
160	255	1331
161	256	1324
162	256	1318
163	257	1311
164	257	1304
165	258	1299
166	259	1292
167	259	1286
168	260	1280
169	261	1274
170	261	1268
171	262	1262
172	262	1256
173	263	1251
174	264	1245
175	264	1239
176	265	1233
177	265	1228
178	266	1222
179	267	1217
180	267	1211
181	268	1206
182	268	1200
183	269	1195
184	270	1190
185	270	1184
186	271	1179
187	271	1174
188	272	1169
189	273	1164
190	273	1159
191	274	1154
192	275	1150
193	275	1145
194	276	1140
195	276	1135
196	277	1131
197	278	1126
198	278	1121
199	279	1117
200	279	1112
201	280	1108
202	281	1103
203	281	1099
204	282	1094
205	282	1090
206	283	1086
207	284	1081
208	284	1077
209	285	1073
210	286	1069
211	286	1065
212	287	1061
213	287	1057
214	288	1053
215	289	1050
216	289	1046
217	290	1042
218	291	1038
219	291	1034
220	292	1031
221	293	1027
222	293	1024
223	294	1020
224	295	1017
225	295	1013
226	296	1010
227	297	1006
228	298	1003
229	298	1000
230	299	996
231	299	992
232	300	989
233	301	986
234	301	982
235	302	979
236	303	975
237	303	972
238	304	968
239	304	965
240	305	962
241	306	958
242	306	955
243	307	952
244	308	949
245	308	946
246	309	942
247	309	939
248	310	936
249	311	933
250	311	930
251	312	927
252	313	924
253	313	921
254	314	918
255	314	914
256	315	912
257	316	909
258	316	906
259	317	903
260	318	900
261	318	897
262	319	894
263	319	891
264	320	889
265	321	886
266	321	883
267	322	880
268	323	877
269	323	875
270	324	872
271	324	869
272	325	866
273	326	863
274	326	861
275	327	858
276	328	856
277	328	853
278	329	850
279	329	848
280	330	845
281	331	843
282	331	840
283	332	838
284	333	835
285	333	833
286	334	830
287	334	828
288	335	825
289	336	823
290	336	820
291	337	818
292	338	815
293	338	813
294	339	811
295	340	808
296	340	806
297	341	804
298	342	801
299	342	799
300	343	797
301	343	794
302	344	792
303	345	790
304	345	788
305	346	785
306	347	783
307	347	781
308	348	778
309	348	776
310	349	774
311	350	772
312	350	770
313	351	767
314	352	765
315	352	763
316	353	761
317	353	759
318	354	756
319	355	754
320	355	752
321	356	750
322	357	748
323	357	746
324	358	744
325	358	742
326	359	740
327	360	737
328	360	735
329	361	733
330	361	731
331	362	729
332	363	727
333	363	725
334	364	723
335	365	721
336	365	719
337	366	717
338	366	715
339	367	713
340	368	711
341	368	709
342	369	707
343	369	705
344	370	703
345	370	701
346	371	699
347	372	697
348	372	695
349	373	693
350	374	691
351	374	689
352	375	687
353	375	686
354	376	684
355	377	682
356	377	680
357	378	678
358	379	676
359	379	675
360	380	673
361	380	671
362	381	669
363	382	667
364	382	666
365	383	664
366	384	662
367	384	660
368	385	659
369	386	657
370	386	655
371	387	654
372	388	652
373	388	650
374	389	649
375	390	647
376	390	645
377	391	643
378	392	642
379	392	640
380	393	638
381	393	637
382	394	635
383	395	634
384	395	632
385	396	630
386	397	628
387	397	627
388	398	625
389	398	623
390	399	622
391	400	620
392	400	618
393	401	617
394	402	615
395	402	614
396	403	612
397	403	611
398	404	609
399	405	607
400	405	606
401	406	604
402	407	603
403	407	601
404	408	599
405	409	598
406	409	596
407	410	595
408	410	593
409	411	592
410	412	590
411	412	589
412	413	587
413	414	586
414	414	584
415	415	583
416	416	581
417	416	580
418	417	578
419	417	577
420	418	575
421	419	574
422	419	572
423	420	571
424	420	569
425	421	568
426	422	566
427	422	565
428	423	563
429	424	562
430	424	560
431	425	559
432	425	557
433	426	556
434	427	554
435	427	553
436	428	551
437	428	550
438	429	548
439	430	547
440	430	546
441	431	544
442	432	543
443	432	541
444	433	540
445	434	539
446	434	537
447	435	536
448	435	534
449	436	533
450	437	532
451	437	530
452	438	529
453	438	527
454	439	526
455	440	525
456	440	523
457	441	522
458	441	520
459	442	519
460	443	518
461	443	516
462	444	515
463	445	514
464	445	512
465	446	511
466	447	510
467	447	508
468	448	507
469	449	506
470	449	505
471	450	503
472	450	502
473	451	501
474	452	499
475	452	498
476	453	497
477	454	495
478	454	494
479	455	493
480	455	491
481	456	490
482	457	489
483	457	487
484	458	486
485	459	485
486	459	484
487	460	482
488	460	481
489	461	480
490	462	479
491	462	477
492	463	476
493	463	475
494	464	474
495	465	472
496	465	471
497	466	470
498	467	468
499	467	467
500	468	466
501	468	465
502	469	463
503	470	462
504	470	461
505	471	460
506	471	458
507	472	457
508	473	456
509	473	455
510	474	454
511	475	452
512	475	451
513	476	450
514	477	449
515	477	448
516	478	447
517	479	445
518	479	444
519	480	443
520	481	442
521	481	441
522	482	440
523	483	438
524	483	437
525	484	436
526	485	435
527	485	434
528	486	433
529	487	431
530	487	430
531	488	429
532	489	428
533	489	427
534	490	426
535	490	425
536	491	423
537	492	422
538	492	421
539	493	420
540	494	419
541	494	418
542	495	416
543	496	415
544	496	414
545	497	413
546	498	412
547	498	411
548	499	410
549	499	408
550	500	407
551	501	406
552	501	405
553	502	404
